epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,331.341,1.18646,0.46833,0.08941,0.79427,0.90853,0.94051,0.95014,0.97695,0.69656,0.94196,0.95128,0.97998,0.94924,1.01661,0.21582,0.02648,0.66963,0.83353,0.009109,0.009109,0.009109
29,342.248,1.16783,0.46489,0.08775,0.74819,0.90525,0.93908,0.94931,0.97914,0.68558,0.93839,0.94829,0.97948,0.93759,1.06953,0.26557,0.02788,0.68757,0.83574,0.009076,0.009076,0.009076
30,354.757,1.15734,0.43912,0.08323,0.79789,0.90297,0.93637,0.9531,0.97493,0.66808,0.93387,0.95627,0.97394,0.93766,1.15309,0.26686,0.02603,0.7476,0.84538,0.009043,0.009043,0.009043
31,365.516,1.1787,0.45811,0.07803,0.75294,0.90126,0.94611,0.95262,0.98091,0.70617,0.94932,0.94946,0.98192,0.95134,1.02142,0.21742,0.02348,0.65119,0.83101,0.00901,0.00901,0.00901
32,374.292,1.17056,0.43863,0.08232,0.73011,0.89619,0.91986,0.94068,0.97355,0.67867,0.91928,0.94044,0.9735,0.92819,1.1347,0.30001,0.02374,0.6685,0.84078,0.008977,0.008977,0.008977
33,383.904,1.14052,0.44295,0.07341,0.74336,0.89776,0.95125,0.95113,0.9776,0.69317,0.95144,0.94986,0.97744,0.94696,1.04078,0.22362,0.02221,0.62163,0.83403,0.008944,0.008944,0.008944
34,395.792,1.1542,0.45739,0.07184,0.72955,0.90239,0.9108,0.91203,0.95699,0.66165,0.91293,0.9127,0.95801,0.91582,1.11427,0.28333,0.02096,0.64721,0.8385,0.008911,0.008911,0.008911
35,408.499,1.14847,0.43651,0.07044,0.72745,0.89579,0.95128,0.94722,0.97932,0.69101,0.94993,0.94672,0.97895,0.9472,1.05098,0.23072,0.02055,0.61308,0.83437,0.008878,0.008878,0.008878
36,419.434,1.11875,0.41836,0.06761,0.76782,0.88862,0.83847,0.88168,0.91335,0.64915,0.83878,0.88143,0.91219,0.88424,1.07264,0.25171,0.02144,0.91139,0.83265,0.008845,0.008845,0.008845
37,430.376,1.13972,0.43456,0.0669,0.71444,0.89514,0.95227,0.96776,0.98254,0.70103,0.95217,0.96668,0.9816,0.94897,1.03513,0.24296,0.0221,0.64877,0.83357,0.008812,0.008812,0.008812
