epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,1274.3,1.00913,0.31444,0.02451,0.52437,0.86911,0.9673,0.97034,0.98472,0.73544,0.96525,0.96825,0.98382,0.96511,0.96814,0.16912,0.00458,0.4946,0.82187,0.006172,0.006172,0.006172
118,1283.09,1.00741,0.32133,0.02367,0.5264,0.86742,0.95666,0.97124,0.98229,0.73679,0.95552,0.96999,0.98155,0.96299,0.93577,0.16362,0.00488,0.4805,0.82004,0.006139,0.006139,0.006139
119,1293.4,1.01534,0.32181,0.02539,0.53375,0.86606,0.97866,0.97598,0.98922,0.74285,0.97809,0.9748,0.98846,0.96901,0.92709,0.16156,0.0046,0.45491,0.8202,0.006106,0.006106,0.006106
120,1305.2,1.00287,0.32043,0.02347,0.52175,0.86475,0.95002,0.94394,0.98052,0.72844,0.94867,0.94213,0.98023,0.96252,0.9541,0.17506,0.00456,0.52128,0.8205,0.006073,0.006073,0.006073
121,1314.9,0.99727,0.3018,0.02226,0.51281,0.86573,0.96324,0.96215,0.98425,0.73782,0.96194,0.96096,0.98405,0.96643,0.91727,0.15782,0.00528,0.48227,0.81822,0.00604,0.00604,0.00604
122,1327.18,0.98701,0.28968,0.02284,0.5094,0.8626,0.96599,0.9641,0.98491,0.74024,0.96489,0.96038,0.98477,0.96821,0.93316,0.16353,0.0046,0.51203,0.81933,0.006007,0.006007,0.006007
123,1337.42,0.98091,0.29981,0.02447,0.51099,0.86175,0.96715,0.96963,0.98531,0.73431,0.96561,0.96737,0.98508,0.96526,0.93242,0.16371,0.00463,0.48342,0.81988,0.005974,0.005974,0.005974
124,1349.31,0.99605,0.30853,0.024,0.51442,0.86269,0.96179,0.95701,0.98273,0.72665,0.96325,0.95821,0.98507,0.96324,0.98626,0.17935,0.00463,0.52622,0.82405,0.005941,0.005941,0.005941
125,1361.33,0.99035,0.30365,0.02425,0.5148,0.86404,0.95931,0.95893,0.98188,0.73952,0.95857,0.95809,0.98226,0.9655,0.9404,0.16398,0.00408,0.49127,0.81883,0.005908,0.005908,0.005908
126,1373.02,0.99224,0.294,0.02321,0.51097,0.86535,0.97121,0.96742,0.98414,0.72989,0.97078,0.967,0.98504,0.96551,0.9741,0.16435,0.00369,0.50527,0.82385,0.005875,0.005875,0.005875
127,1382.42,0.98373,0.30184,0.02251,0.50222,0.86383,0.98031,0.97906,0.98823,0.7446,0.97936,0.97944,0.9891,0.97054,0.91646,0.16164,0.004,0.44278,0.81759,0.005842,0.005842,0.005842
128,1390.04,1.00239,0.31799,0.02451,0.51573,0.86546,0.97484,0.97654,0.98656,0.73552,0.97304,0.97566,0.98681,0.96856,0.92443,0.16231,0.00399,0.47638,0.82027,0.005809,0.005809,0.005809
129,1402.83,0.98794,0.30291,0.02381,0.50444,0.85989,0.97542,0.97893,0.9888,0.74439,0.97383,0.97726,0.98864,0.97167,0.94836,0.16558,0.00375,0.45066,0.81868,0.005776,0.005776,0.005776
130,1410.62,0.98958,0.3046,0.02285,0.51141,0.86591,0.9823,0.97481,0.9885,0.74389,0.98216,0.97265,0.98996,0.97239,0.94954,0.1613,0.00383,0.44384,0.82096,0.005743,0.005743,0.005743
131,1422.36,0.98733,0.30783,0.02336,0.51107,0.86222,0.98004,0.97914,0.99011,0.74437,0.98017,0.97742,0.99073,0.97446,0.94804,0.1677,0.00369,0.43922,0.82085,0.00571,0.00571,0.00571
132,1433.64,0.99103,0.30794,0.02177,0.50872,0.8627,0.97002,0.96889,0.98512,0.734,0.97063,0.9685,0.98703,0.96737,0.95887,0.16363,0.00386,0.46165,0.82355,0.005677,0.005677,0.005677
133,1446.04,0.9768,0.29461,0.02236,0.50207,0.86215,0.95072,0.96572,0.97701,0.71266,0.96062,0.95518,0.97927,0.95601,1.01451,0.1907,0.00397,0.48908,0.82697,0.005644,0.005644,0.005644
134,1455.26,0.99158,0.29355,0.02291,0.50381,0.86299,0.97766,0.97203,0.98603,0.73563,0.97811,0.97245,0.98854,0.96845,0.95602,0.16635,0.00381,0.46145,0.82162,0.005611,0.005611,0.005611
135,1465.75,0.99374,0.30737,0.02416,0.50643,0.86168,0.97429,0.97495,0.98634,0.73519,0.97434,0.97495,0.98767,0.96694,0.92443,0.15594,0.00359,0.45205,0.81914,0.005578,0.005578,0.005578
136,1474.46,0.97919,0.28489,0.02383,0.4991,0.86149,0.96901,0.97508,0.9846,0.73519,0.96821,0.97425,0.98751,0.96819,0.92963,0.15459,0.00405,0.44079,0.81935,0.005545,0.005545,0.005545
137,1485,0.97827,0.2832,0.02102,0.49973,0.86038,0.97076,0.97532,0.98622,0.73898,0.96944,0.97414,0.98685,0.96936,0.94947,0.15848,0.00339,0.46207,0.81968,0.005512,0.005512,0.005512
138,1494.88,0.98119,0.29811,0.02092,0.49923,0.86118,0.96908,0.95716,0.9852,0.73645,0.9681,0.95635,0.98663,0.96779,0.9541,0.15974,0.00368,0.47192,0.81997,0.005479,0.005479,0.005479
139,1506.76,0.98207,0.28708,0.02072,0.49815,0.86193,0.96221,0.97356,0.98469,0.72991,0.96186,0.97314,0.98595,0.96475,0.96048,0.16382,0.0037,0.4615,0.8221,0.005446,0.005446,0.005446
140,1519.25,0.99093,0.29684,0.02215,0.49864,0.86205,0.96516,0.96331,0.98459,0.73589,0.9652,0.96331,0.98411,0.9655,0.94741,0.16374,0.00349,0.4696,0.82386,0.005413,0.005413,0.005413
141,1529.59,0.96859,0.29705,0.02105,0.49563,0.86087,0.97835,0.97409,0.98827,0.74197,0.97839,0.97259,0.98918,0.96925,0.9235,0.15674,0.00321,0.44889,0.8205,0.00538,0.00538,0.00538
142,1542.28,0.99069,0.30207,0.02156,0.50027,0.86443,0.97421,0.97879,0.98795,0.74354,0.97319,0.97737,0.98876,0.97081,0.935,0.16203,0.00353,0.45052,0.82031,0.005347,0.005347,0.005347
143,1553.48,0.97155,0.28604,0.0214,0.49637,0.85967,0.9707,0.97769,0.98322,0.73434,0.97295,0.97589,0.98527,0.96451,0.95969,0.16478,0.00351,0.46139,0.82053,0.005314,0.005314,0.005314
144,1565.56,0.98349,0.3096,0.02258,0.50165,0.8615,0.97594,0.97165,0.98426,0.73683,0.97687,0.97106,0.98606,0.96831,0.93517,0.15953,0.00311,0.45198,0.82036,0.005281,0.005281,0.005281
145,1574.31,0.97542,0.28905,0.02119,0.49394,0.86185,0.96188,0.97099,0.9869,0.74225,0.96117,0.96987,0.98711,0.96846,0.94638,0.16337,0.00316,0.46338,0.82084,0.005248,0.005248,0.005248
146,1584.76,0.97387,0.2922,0.02068,0.49124,0.8585,0.94749,0.95389,0.97942,0.72486,0.94728,0.95347,0.97976,0.95758,0.96037,0.17253,0.00327,0.50046,0.82371,0.005215,0.005215,0.005215
147,1595.53,0.97188,0.28904,0.02089,0.49069,0.85955,0.9741,0.97669,0.98607,0.73935,0.97638,0.97413,0.98798,0.96893,0.95033,0.16684,0.00316,0.44864,0.82098,0.005182,0.005182,0.005182
148,1609.67,0.98473,0.29451,0.02063,0.4937,0.86008,0.96985,0.97413,0.98715,0.73633,0.96941,0.97387,0.98877,0.96595,0.94811,0.17059,0.00328,0.45378,0.82077,0.005149,0.005149,0.005149
149,1621.04,0.97724,0.28316,0.02032,0.49023,0.85883,0.97652,0.97456,0.98866,0.7438,0.97651,0.97387,0.98982,0.97201,0.92125,0.1551,0.00325,0.44964,0.81802,0.005116,0.005116,0.005116
150,1632.76,0.98202,0.29916,0.02199,0.49622,0.86148,0.98417,0.9773,0.98953,0.74518,0.98093,0.97467,0.98906,0.97144,0.91748,0.15955,0.00344,0.43732,0.81838,0.005083,0.005083,0.005083
151,1642.47,0.98473,0.29088,0.02045,0.49401,0.86003,0.98093,0.98009,0.98989,0.74265,0.98013,0.97926,0.99068,0.97211,0.93133,0.1629,0.00318,0.43993,0.82032,0.00505,0.00505,0.00505
152,1652.27,0.97763,0.29815,0.01959,0.4935,0.86034,0.96491,0.97158,0.98537,0.73761,0.96318,0.97099,0.9848,0.96777,0.94462,0.16488,0.00297,0.45402,0.82095,0.005017,0.005017,0.005017
153,1663.58,0.97255,0.28332,0.01994,0.48987,0.86194,0.97506,0.97584,0.98639,0.74545,0.97498,0.97532,0.98771,0.97039,0.92086,0.15508,0.00302,0.4362,0.81835,0.004984,0.004984,0.004984
154,1674.76,0.96514,0.29824,0.02085,0.48492,0.86124,0.97763,0.97766,0.98735,0.75089,0.97722,0.97724,0.98841,0.97149,0.90643,0.15467,0.00289,0.42828,0.81843,0.004951,0.004951,0.004951
155,1682.8,0.97138,0.28922,0.02003,0.48668,0.8595,0.97681,0.97746,0.98522,0.7482,0.97574,0.97596,0.98491,0.96972,0.90437,0.15355,0.00283,0.443,0.81604,0.004918,0.004918,0.004918
156,1693.59,0.97022,0.28723,0.0218,0.48764,0.8591,0.97819,0.97509,0.98656,0.74697,0.97736,0.97425,0.9869,0.96915,0.91764,0.15719,0.00292,0.46499,0.81738,0.004885,0.004885,0.004885
157,1704.59,0.97852,0.30456,0.02232,0.49409,0.863,0.96383,0.96806,0.98472,0.73676,0.96384,0.96806,0.98555,0.96569,0.94886,0.16756,0.00241,0.47169,0.81994,0.004852,0.004852,0.004852
158,1716.3,0.96994,0.28756,0.0195,0.4878,0.85547,0.96775,0.96959,0.98474,0.7401,0.967,0.96869,0.98524,0.96502,0.9328,0.15818,0.00289,0.45988,0.81876,0.004819,0.004819,0.004819
159,1727.53,0.97125,0.29101,0.01879,0.48961,0.85789,0.97582,0.97411,0.98674,0.74267,0.97765,0.97143,0.9877,0.96893,0.92926,0.15752,0.0025,0.43583,0.81848,0.004786,0.004786,0.004786
160,1737.62,0.97203,0.28399,0.01949,0.49088,0.86014,0.96951,0.96915,0.98544,0.7402,0.96939,0.96857,0.98696,0.9701,0.93296,0.15663,0.00261,0.44731,0.81826,0.004753,0.004753,0.004753
161,1747.83,0.95911,0.26953,0.01902,0.4828,0.85898,0.96946,0.97943,0.98887,0.74478,0.96865,0.9786,0.98905,0.97183,0.92388,0.16025,0.00243,0.43525,0.81816,0.00472,0.00472,0.00472
162,1757.95,0.9639,0.28198,0.01915,0.48037,0.85734,0.978,0.9747,0.98927,0.74052,0.97774,0.97416,0.98997,0.96894,0.93729,0.16943,0.00241,0.43621,0.82068,0.004687,0.004687,0.004687
163,1767.74,0.95609,0.27401,0.01897,0.47624,0.85844,0.97296,0.97697,0.98672,0.74136,0.97179,0.97608,0.98758,0.96818,0.9363,0.1608,0.00254,0.43514,0.81899,0.004654,0.004654,0.004654
164,1774.45,0.96365,0.29405,0.01955,0.48116,0.85677,0.9693,0.97841,0.98559,0.74392,0.96952,0.97769,0.98679,0.96864,0.95066,0.16193,0.00281,0.4422,0.82005,0.004621,0.004621,0.004621
165,1784.35,0.96155,0.27587,0.02075,0.4766,0.85724,0.97468,0.9723,0.98571,0.74091,0.97519,0.97272,0.98862,0.96948,0.95645,0.16572,0.00273,0.44349,0.82067,0.004588,0.004588,0.004588
166,1796.47,0.95142,0.27158,0.02066,0.47208,0.85841,0.96764,0.97068,0.98733,0.74645,0.96814,0.97106,0.98908,0.97078,0.92348,0.1566,0.00239,0.43118,0.81757,0.004555,0.004555,0.004555
167,1807.35,0.96633,0.29635,0.01879,0.48375,0.8604,0.97045,0.96532,0.98563,0.73776,0.96959,0.96454,0.98499,0.96664,0.96607,0.16382,0.00231,0.4564,0.81986,0.004522,0.004522,0.004522
168,1818.82,0.94609,0.26251,0.01826,0.4695,0.85291,0.95367,0.95962,0.97683,0.71776,0.95295,0.95751,0.97708,0.95595,1.02341,0.17665,0.00213,0.48222,0.82719,0.004489,0.004489,0.004489
169,1830.25,0.95687,0.26991,0.01867,0.47556,0.85429,0.95246,0.96566,0.98117,0.72797,0.95087,0.96399,0.98049,0.9601,0.98657,0.16728,0.00217,0.46137,0.82171,0.004456,0.004456,0.004456
170,1840.98,0.95294,0.26438,0.01843,0.46967,0.85603,0.9719,0.97086,0.98492,0.73597,0.97206,0.9693,0.98595,0.96451,0.97239,0.16739,0.00221,0.45321,0.82115,0.004423,0.004423,0.004423
171,1853.53,0.94908,0.27017,0.01772,0.47185,0.85741,0.97431,0.97541,0.98743,0.74255,0.97311,0.97415,0.98833,0.96864,0.93482,0.15917,0.00249,0.43999,0.81871,0.00439,0.00439,0.00439
172,1862.33,0.95068,0.28642,0.01868,0.47399,0.85807,0.97446,0.9793,0.9876,0.74281,0.97283,0.97763,0.98818,0.96957,0.94589,0.16597,0.0024,0.44589,0.82075,0.004357,0.004357,0.004357
173,1869.33,0.96123,0.28097,0.02012,0.47413,0.85856,0.97268,0.97664,0.9884,0.74931,0.97225,0.97553,0.9891,0.97222,0.91785,0.15223,0.00226,0.45196,0.81798,0.004324,0.004324,0.004324
174,1882.48,0.9445,0.27364,0.01859,0.46876,0.85415,0.96773,0.97188,0.98641,0.73925,0.96695,0.97104,0.98644,0.96645,0.93205,0.15691,0.00245,0.44915,0.81863,0.004291,0.004291,0.004291
175,1894.19,0.9446,0.27016,0.0176,0.4663,0.85463,0.97556,0.97529,0.98905,0.73746,0.97306,0.97278,0.98731,0.96838,0.95606,0.16562,0.00219,0.45571,0.81985,0.004258,0.004258,0.004258
176,1904.95,0.94693,0.25772,0.01973,0.46363,0.85683,0.97107,0.97009,0.98599,0.74338,0.97027,0.96926,0.98684,0.96918,0.937,0.15838,0.00206,0.46224,0.81809,0.004225,0.004225,0.004225
177,1915.56,0.95114,0.26341,0.01825,0.46883,0.85662,0.97962,0.98016,0.98622,0.73503,0.97856,0.97914,0.98637,0.96439,0.91179,0.15921,0.00225,0.47752,0.81867,0.004192,0.004192,0.004192
178,1925.78,0.95885,0.2788,0.0192,0.47317,0.85499,0.97907,0.9758,0.98662,0.73471,0.97755,0.97432,0.98625,0.96511,0.92463,0.1647,0.00234,0.46208,0.82056,0.004159,0.004159,0.004159
179,1937.08,0.94601,0.26358,0.01817,0.46867,0.85356,0.9752,0.97735,0.98646,0.7376,0.97521,0.97738,0.98831,0.9652,0.92659,0.15901,0.00226,0.44062,0.81962,0.004126,0.004126,0.004126
180,1947.5,0.94743,0.26897,0.01822,0.46283,0.85318,0.97686,0.97437,0.98535,0.73963,0.97648,0.97395,0.98754,0.96775,0.93138,0.15668,0.00237,0.44648,0.82059,0.004093,0.004093,0.004093
181,1958.65,0.94461,0.26129,0.01745,0.46277,0.85344,0.96583,0.96837,0.98477,0.73917,0.96504,0.96753,0.98524,0.96493,0.90938,0.15703,0.00222,0.43309,0.82078,0.00406,0.00406,0.00406
182,1967.91,0.95235,0.2758,0.01814,0.46739,0.85414,0.97751,0.97403,0.98726,0.74431,0.97587,0.97236,0.98748,0.97035,0.93367,0.16068,0.00188,0.43227,0.81931,0.004027,0.004027,0.004027
183,1980.56,0.93824,0.2631,0.01914,0.46439,0.85197,0.96125,0.96975,0.98471,0.73199,0.96225,0.96633,0.98504,0.96485,0.96069,0.16476,0.002,0.44506,0.82181,0.003994,0.003994,0.003994
184,1992.73,0.9437,0.27459,0.01735,0.46437,0.853,0.97773,0.97451,0.9868,0.73857,0.97726,0.9735,0.98712,0.9683,0.95785,0.16108,0.00211,0.44222,0.82051,0.003961,0.003961,0.003961
185,2000.73,0.95476,0.27715,0.01887,0.46771,0.85709,0.98138,0.97972,0.98781,0.74679,0.98057,0.97889,0.98837,0.96963,0.93845,0.16038,0.00199,0.43325,0.8191,0.003928,0.003928,0.003928
186,2009.24,0.93677,0.26218,0.01693,0.46019,0.85177,0.97723,0.97757,0.98782,0.74745,0.97693,0.97715,0.98886,0.97,0.91205,0.15542,0.00212,0.43788,0.81574,0.003895,0.003895,0.003895
187,2022.02,0.93523,0.26309,0.01789,0.45738,0.85475,0.97816,0.97786,0.98764,0.74382,0.97739,0.97702,0.9889,0.96987,0.94191,0.15725,0.00187,0.45787,0.81849,0.003862,0.003862,0.003862
188,2035.38,0.94167,0.26482,0.01743,0.46137,0.85273,0.97677,0.97664,0.98852,0.74505,0.97475,0.97456,0.9883,0.97157,0.92849,0.15621,0.00181,0.4495,0.81857,0.003829,0.003829,0.003829
189,2047.9,0.93861,0.27443,0.01691,0.46192,0.85071,0.97839,0.97441,0.98942,0.73729,0.97788,0.97291,0.98927,0.97025,0.94413,0.15976,0.00186,0.45859,0.82126,0.003796,0.003796,0.003796
190,2057.89,0.94274,0.26755,0.01695,0.45802,0.85162,0.97718,0.97951,0.99043,0.74093,0.97514,0.97742,0.98877,0.97006,0.94213,0.16704,0.00195,0.45364,0.82273,0.003763,0.003763,0.003763
191,2068.62,0.94242,0.26399,0.01847,0.45807,0.85496,0.97929,0.97777,0.99024,0.74213,0.97915,0.9764,0.98999,0.97142,0.93842,0.16127,0.00168,0.441,0.81987,0.00373,0.00373,0.00373
192,2079.59,0.94707,0.26917,0.01749,0.46353,0.85404,0.9827,0.97324,0.99127,0.74717,0.98098,0.97166,0.98927,0.97356,0.93621,0.15445,0.00173,0.44666,0.8171,0.003697,0.003697,0.003697
193,2091.75,0.93425,0.26579,0.01698,0.45514,0.85277,0.98064,0.97874,0.98948,0.75058,0.97984,0.9779,0.98919,0.97219,0.93343,0.15254,0.0018,0.43158,0.8166,0.003664,0.003664,0.003664
194,2101.4,0.93964,0.263,0.01653,0.45433,0.8537,0.97918,0.97848,0.98809,0.74521,0.97793,0.97726,0.9888,0.96918,0.926,0.15629,0.0018,0.4653,0.81748,0.003631,0.003631,0.003631
195,2108.49,0.93251,0.25503,0.01724,0.45546,0.85251,0.97966,0.98034,0.98872,0.74202,0.97938,0.97987,0.98955,0.96978,0.9519,0.16758,0.00186,0.43848,0.82163,0.003598,0.003598,0.003598
196,2119.22,0.93917,0.25915,0.01651,0.45933,0.85277,0.97459,0.97446,0.98714,0.74532,0.97423,0.97405,0.98787,0.96997,0.95278,0.16466,0.00171,0.45184,0.82149,0.003565,0.003565,0.003565
197,2130.87,0.92387,0.2632,0.01806,0.45131,0.85043,0.97777,0.97303,0.98827,0.74885,0.97972,0.97254,0.98935,0.97137,0.92541,0.15508,0.00166,0.42061,0.81918,0.003532,0.003532,0.003532
198,2142.76,0.9271,0.26547,0.01831,0.45382,0.85404,0.9793,0.97742,0.9896,0.74588,0.97852,0.97659,0.98996,0.97174,0.9295,0.16008,0.00174,0.42702,0.82047,0.003499,0.003499,0.003499
199,2153.2,0.92232,0.25046,0.01747,0.45103,0.85385,0.9658,0.97081,0.98669,0.73345,0.96502,0.96998,0.98672,0.96618,0.97365,0.16744,0.00152,0.46761,0.82123,0.003466,0.003466,0.003466
200,2164.59,0.93387,0.25324,0.01592,0.45086,0.85334,0.96776,0.96866,0.98689,0.73735,0.9688,0.96765,0.98762,0.96693,0.96537,0.16769,0.00139,0.44441,0.82155,0.003433,0.003433,0.003433
201,2178.92,0.93111,0.26722,0.0176,0.45429,0.85275,0.98276,0.97997,0.98962,0.74547,0.98136,0.97729,0.98885,0.9711,0.92102,0.1556,0.00152,0.42107,0.81785,0.0034,0.0034,0.0034
202,2190.76,0.9344,0.26415,0.01708,0.45611,0.85065,0.97926,0.97779,0.99029,0.74773,0.97762,0.97612,0.98941,0.97135,0.92304,0.15425,0.00154,0.43277,0.81615,0.003367,0.003367,0.003367
203,2200.13,0.93028,0.25245,0.01572,0.44869,0.84736,0.98167,0.9748,0.991,0.74711,0.98085,0.97396,0.99058,0.97222,0.92342,0.15448,0.00152,0.43647,0.81901,0.003334,0.003334,0.003334
204,2207.05,0.91996,0.24401,0.01497,0.44652,0.84838,0.98092,0.97653,0.99022,0.74168,0.98078,0.97455,0.98928,0.97131,0.9437,0.16472,0.00155,0.43214,0.81967,0.003301,0.003301,0.003301
205,2220.42,0.92559,0.25245,0.01743,0.44774,0.85069,0.9819,0.98498,0.99121,0.74013,0.97922,0.98186,0.99,0.97111,0.95985,0.16505,0.00157,0.4416,0.82053,0.003268,0.003268,0.003268
206,2232.54,0.93174,0.25336,0.01731,0.45025,0.85163,0.97189,0.97872,0.98853,0.74009,0.97059,0.97755,0.98914,0.97067,0.97135,0.16615,0.00152,0.44919,0.82166,0.003235,0.003235,0.003235
207,2244.91,0.92296,0.24547,0.01619,0.449,0.84934,0.98079,0.97208,0.98933,0.74813,0.97912,0.97041,0.99039,0.97246,0.9494,0.15753,0.0014,0.44839,0.81752,0.003202,0.003202,0.003202
208,2254.84,0.93,0.2654,0.01667,0.44711,0.85096,0.98053,0.97975,0.99017,0.74703,0.98043,0.97829,0.99158,0.97277,0.94122,0.15537,0.00137,0.43993,0.81623,0.003169,0.003169,0.003169
209,2267.39,0.92767,0.24734,0.01753,0.44976,0.84943,0.97645,0.97924,0.98903,0.74899,0.97529,0.97699,0.98829,0.97244,0.92454,0.15053,0.00136,0.43566,0.81538,0.003136,0.003136,0.003136
210,2276.75,0.92679,0.25583,0.01689,0.452,0.85021,0.97293,0.98224,0.98901,0.75144,0.97172,0.98099,0.9902,0.97298,0.90614,0.14936,0.00136,0.43605,0.81483,0.003103,0.003103,0.003103
211,2288.24,0.92688,0.25543,0.01632,0.44965,0.85221,0.97396,0.98112,0.9898,0.74714,0.97273,0.97987,0.98954,0.97218,0.9377,0.15363,0.00135,0.46307,0.81816,0.00307,0.00307,0.00307
212,2298.01,0.92056,0.25558,0.01696,0.44725,0.8504,0.97435,0.97781,0.98768,0.7447,0.97511,0.97722,0.98871,0.9684,0.92779,0.1554,0.00134,0.45988,0.81901,0.003037,0.003037,0.003037
213,2305.08,0.92254,0.25485,0.0172,0.44771,0.85117,0.97554,0.97433,0.98711,0.74918,0.97523,0.97452,0.98849,0.97055,0.91836,0.15351,0.00133,0.46696,0.8165,0.003004,0.003004,0.003004
214,2317.17,0.91776,0.24403,0.01662,0.4419,0.8483,0.96093,0.96541,0.98147,0.74064,0.95973,0.96416,0.98122,0.96311,0.91335,0.15178,0.0013,0.45521,0.81599,0.002971,0.002971,0.002971
215,2326,0.93281,0.26076,0.0156,0.44596,0.85073,0.97151,0.97275,0.98618,0.74223,0.96904,0.97024,0.98456,0.96652,0.92724,0.15217,0.00117,0.4353,0.81708,0.002938,0.002938,0.002938
216,2337.09,0.91588,0.23926,0.01696,0.44078,0.84834,0.9724,0.97716,0.9848,0.74401,0.97073,0.9756,0.98427,0.96582,0.92276,0.15349,0.0012,0.43005,0.81665,0.002905,0.002905,0.002905
217,2347.97,0.92021,0.24628,0.01549,0.44175,0.84591,0.97549,0.96866,0.98522,0.73746,0.9746,0.96786,0.98604,0.96595,0.92983,0.15763,0.00139,0.46235,0.81778,0.002872,0.002872,0.002872
218,2360.2,0.91485,0.2473,0.01618,0.44023,0.84557,0.97183,0.97808,0.98731,0.74694,0.97141,0.97766,0.98883,0.97128,0.90466,0.15347,0.00124,0.46011,0.81718,0.002839,0.002839,0.002839
219,2370.22,0.915,0.22965,0.01567,0.4384,0.84685,0.97719,0.97441,0.98721,0.74914,0.97596,0.97316,0.9882,0.97192,0.91426,0.15196,0.00125,0.46616,0.81556,0.002806,0.002806,0.002806
220,2382.65,0.92045,0.24685,0.01593,0.44225,0.84811,0.97485,0.97724,0.98776,0.74298,0.97367,0.97508,0.98871,0.97211,0.94962,0.15809,0.00122,0.49102,0.81828,0.002773,0.002773,0.002773
221,2390.35,0.91463,0.25356,0.01625,0.44558,0.85198,0.97178,0.97639,0.98802,0.74514,0.9756,0.97165,0.99009,0.97108,0.92471,0.15167,0.00116,0.47134,0.81694,0.00274,0.00274,0.00274
222,2396.77,0.90963,0.24028,0.01576,0.43864,0.84738,0.97227,0.97773,0.98797,0.74933,0.97148,0.97689,0.989,0.96972,0.90448,0.15071,0.0011,0.45479,0.81556,0.002707,0.002707,0.002707
223,2408.74,0.92005,0.24853,0.01754,0.44118,0.84971,0.97511,0.97934,0.98906,0.74723,0.97891,0.97225,0.98895,0.97083,0.90823,0.1492,0.00107,0.42905,0.81493,0.002674,0.002674,0.002674
224,2418.72,0.9168,0.25325,0.01614,0.44046,0.84917,0.97379,0.97671,0.98779,0.74502,0.97261,0.97546,0.98845,0.97041,0.91858,0.15435,0.00108,0.45106,0.81565,0.002641,0.002641,0.002641
225,2429.68,0.91431,0.24539,0.01446,0.43649,0.84764,0.97481,0.96914,0.98626,0.74693,0.9729,0.96682,0.98587,0.96867,0.92904,0.15648,0.00111,0.46353,0.81688,0.002608,0.002608,0.002608
226,2439.25,0.90203,0.2417,0.01612,0.43458,0.84639,0.96331,0.9738,0.98612,0.74108,0.96209,0.97195,0.98547,0.96695,0.961,0.1649,0.0011,0.49219,0.81996,0.002575,0.002575,0.002575
227,2450.39,0.9144,0.24526,0.01647,0.43929,0.85017,0.96733,0.97437,0.98724,0.74366,0.96636,0.97257,0.98568,0.96792,0.95196,0.15706,0.00102,0.46941,0.81917,0.002542,0.002542,0.002542
228,2462.72,0.90178,0.24216,0.01587,0.43357,0.84775,0.96245,0.97049,0.98611,0.74732,0.96254,0.96878,0.98443,0.96888,0.93816,0.15558,0.00103,0.4656,0.81825,0.002509,0.002509,0.002509
229,2472.52,0.90857,0.23418,0.01625,0.431,0.85014,0.97305,0.9747,0.98715,0.74951,0.96984,0.9763,0.98642,0.97003,0.91491,0.15199,0.0011,0.42776,0.81665,0.002476,0.002476,0.002476
230,2484.57,0.90806,0.23893,0.01693,0.43192,0.84957,0.9705,0.97906,0.98809,0.74527,0.96929,0.97781,0.98784,0.97144,0.928,0.15282,0.00102,0.44384,0.81697,0.002443,0.002443,0.002443
231,2493.15,0.90287,0.24264,0.01444,0.435,0.84679,0.97603,0.97681,0.98846,0.74374,0.97492,0.97521,0.98805,0.96969,0.93782,0.15658,0.00114,0.44127,0.81891,0.00241,0.00241,0.00241
232,2505.05,0.91105,0.25218,0.0169,0.43783,0.84818,0.98061,0.97952,0.98885,0.74378,0.98016,0.97849,0.98886,0.96942,0.93087,0.15231,0.00106,0.43647,0.81778,0.002377,0.002377,0.002377
233,2515.2,0.90992,0.23394,0.01521,0.43399,0.84576,0.98162,0.97727,0.98932,0.74996,0.98085,0.97643,0.98995,0.97208,0.92453,0.15135,0.00096,0.44963,0.81651,0.002344,0.002344,0.002344
234,2525.92,0.89431,0.22685,0.01576,0.42751,0.84493,0.98101,0.97762,0.98877,0.75047,0.97868,0.97622,0.98735,0.97064,0.91993,0.15453,0.00102,0.45976,0.81738,0.002311,0.002311,0.002311
235,2535.27,0.91197,0.23937,0.01666,0.43584,0.84749,0.9716,0.98211,0.98743,0.74439,0.97074,0.98131,0.9883,0.96801,0.90603,0.15579,0.00098,0.45277,0.817,0.002278,0.002278,0.002278
236,2544.9,0.9029,0.23143,0.01506,0.42965,0.84771,0.98189,0.97823,0.98849,0.75128,0.98026,0.97656,0.9883,0.96921,0.9075,0.1534,0.00093,0.4489,0.81628,0.002245,0.002245,0.002245
237,2555.05,0.90563,0.24043,0.01712,0.43024,0.84607,0.98009,0.97577,0.98792,0.74949,0.97931,0.97493,0.98897,0.97232,0.91119,0.15153,0.00097,0.44191,0.81574,0.002212,0.002212,0.002212
238,2565.02,0.90149,0.24259,0.01782,0.43296,0.84562,0.97945,0.97788,0.98958,0.74936,0.97738,0.97579,0.98832,0.97255,0.92606,0.15166,0.00097,0.43373,0.81566,0.002179,0.002179,0.002179
239,2575.68,0.90824,0.25214,0.01627,0.43355,0.84554,0.9777,0.98079,0.98814,0.74524,0.97514,0.97895,0.98761,0.96925,0.94241,0.15818,0.00091,0.42936,0.81762,0.002146,0.002146,0.002146
